CountVectorizer_0,Multinomial_0,Filtros,max_df,min_df,Accuraci
0,0,3,0.7,80,0.8733427611808379
1,0,3,0.7,80,0.8856284249602263
0,0,3,0.7,70,0.8788226975428672
1,0,3,0.7,70,0.889782570266926
0,0,3,0.6,100,0.8578751988686583
1,0,3,0.6,100,0.8743150079547464
0,0,3,0.6,90,0.8675092805373873
1,0,3,0.6,90,0.8797949443167756
0,0,3,0.6,80,0.8751104825879441
1,0,3,0.6,80,0.8853632667491603
0,0,3,0.6,70,0.8799717164574863
1,0,3,0.6,70,0.8900477284779919
0,0,4,0.9,100,0.8462082375817571
1,0,4,0.9,100,0.860350008838607
0,0,4,0.9,90,0.8531907371398267
1,0,4,0.9,90,0.8672441223263214
0,0,4,0.9,80,0.8607035531200283
1,0,4,0.9,80,0.8732543751104825
0,0,4,0.9,70,0.869984090507336
1,0,4,0.9,70,0.8782923811207354
0,0,4,0.8,100,0.8462082375817571
1,0,4,0.8,100,0.860350008838607
0,0,4,0.8,90,0.8531907371398267
1,0,4,0.8,90,0.8672441223263214
0,0,4,0.8,80,0.8607035531200283
1,0,4,0.8,80,0.8732543751104825
0,0,4,0.8,70,0.869984090507336
1,0,4,0.8,70,0.8782923811207354
0,0,4,0.7,100,0.8462082375817571
1,0,4,0.7,100,0.860350008838607
0,0,4,0.7,90,0.8531907371398267
1,0,4,0.7,90,0.8672441223263214
0,0,4,0.7,80,0.8607035531200283
1,0,4,0.7,80,0.8732543751104825
0,0,4,0.7,70,0.869984090507336
1,0,4,0.7,70,0.8782923811207354
0,0,4,0.6,100,0.8455011490189146
1,0,4,0.6,100,0.8602616227682517
0,0,4,0.6,90,0.8531907371398267
1,0,4,0.6,90,0.8677744387484533
0,0,4,0.6,80,0.8610570974014495
1,0,4,0.6,80,0.8731659890401273
0,0,4,0.6,70,0.8698957044369807
1,0,4,0.6,70,0.8781156089800247
0,1,0,0.9,100,0.7263567261799541
1,1,0,0.9,100,0.7263567261799541
0,1,0,0.9,90,0.7377585292557893
1,1,0,0.9,90,0.7377585292557893
0,1,0,0.9,80,0.7488951741205586
1,1,0,0.9,80,0.7488951741205586
0,1,0,0.9,70,0.7601202050556832
1,1,0,0.9,70,0.7601202050556832
0,1,0,0.8,100,0.7272405868835071
1,1,0,0.8,100,0.7272405868835071
0,1,0,0.8,90,0.738819162100053
1,1,0,0.8,90,0.738819162100053
0,1,0,0.8,80,0.7503093512462435
1,1,0,0.8,80,0.7503093512462435
0,1,0,0.8,70,0.7612692239703023
1,1,0,0.8,70,0.7612692239703023
0,1,0,0.7,100,0.7298037829238112
1,1,0,0.7,100,0.7298037829238112
0,1,0,0.7,90,0.7408520417182252
1,1,0,0.7,90,0.7408520417182252
0,1,0,0.7,80,0.752960933356903
1,1,0,0.7,80,0.752960933356903
0,1,0,0.7,70,0.7629485593070532
1,1,0,0.7,70,0.7629485593070532
0,1,0,0.6,100,0.7301573272052324
1,1,0,0.6,100,0.7301573272052324
0,1,0,0.6,90,0.7412939720700018
1,1,0,0.6,90,0.7412939720700018
0,1,0,0.6,80,0.7515467562312179
1,1,0,0.6,80,0.7515467562312179
0,1,0,0.6,70,0.7639208060809617
1,1,0,0.6,70,0.7639208060809617
0,1,1,0.9,100,0.7333392257380237
1,1,1,0.9,100,0.7333392257380237
0,1,1,0.9,90,0.740233339225738
1,1,1,0.9,90,0.740233339225738
0,1,1,0.9,80,0.7483648576984268
1,1,1,0.9,80,0.7483648576984268
0,1,1,0.9,70,0.7604737493371044
1,1,1,0.9,70,0.7604737493371044
0,1,1,0.8,100,0.7339579282305109
1,1,1,0.8,100,0.7339579282305109
0,1,1,0.8,90,0.7418242884921337
1,1,1,0.8,90,0.7418242884921337
0,1,1,0.8,80,0.7495138766130458
1,1,1,0.8,80,0.7495138766130458
0,1,1,0.8,70,0.7619763125331448
1,1,1,0.8,70,0.7619763125331448
0,1,1,0.7,100,0.7361675799893936
1,1,1,0.7,100,0.7361675799893936
0,1,1,0.7,90,0.7434152377585292
1,1,1,0.7,90,0.7434152377585292
0,1,1,0.7,80,0.7509280537387307
1,1,1,0.7,80,0.7509280537387307
0,1,1,0.7,70,0.7630369453774085
1,1,1,0.7,70,0.7630369453774085
0,1,1,0.6,100,0.7372282128336575
1,1,1,0.6,100,0.7372282128336575
0,1,1,0.6,90,0.7450945730952802
1,1,1,0.6,90,0.7450945730952802
0,1,1,0.6,80,0.7533144776383242
1,1,1,0.6,80,0.7533144776383242
0,1,1,0.6,70,0.7655117553473573
1,1,1,0.6,70,0.7655117553473573
0,1,2,0.9,100,0.7674562488951742
1,1,2,0.9,100,0.7674562488951742
0,1,2,0.9,90,0.7788580519710093
1,1,2,0.9,90,0.7788580519710093
0,1,2,0.9,80,0.7883153614990277
1,1,2,0.9,80,0.7883153614990277
0,1,2,0.9,70,0.7974191267456249
1,1,2,0.9,70,0.7974191267456249
0,1,2,0.8,100,0.7674562488951742
